,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_bp_mean_mag,phot_rp_mean_mag,l,b,phot_g_mean_mag,radial_velocity,radial_velocity_error,probability,stability,label
47,5969881056907457536,252.03690003172818,0.024108186,-40.32114458131046,0.016387375,5.984189374347006,0.027616292,-12.294896235545846,0.03247986,-22.564161995095432,0.0259105,1.0188134,16.78728,13.932551,343.9009512097316,3.0165295886186505,15.170607,,,0.6258503401360545,147,1
48,5969884488520140800,252.29184906207536,0.02966965,-40.27778318671247,0.018407587,5.62289593522708,0.03120713,-10.834237816413808,0.040017527,-21.63498054389394,0.032786857,1.1716324,16.675255,13.698424,344.0593129570273,2.8953827652514463,14.961921,,,0.6598639455782312,147,1
49,5969884694676067200,252.37682345610938,0.17887032,-40.26681508652631,0.11868987,5.7314302856676225,0.2032762,-11.856810181072479,0.23939341,-21.666956511210714,0.2044134,1.0946194,21.200998,17.021812,344.1093484496688,2.852645548708969,18.548962,,,0.9387755102040817,147,1
50,5969895797237730560,251.8472043706768,0.017644728,-40.239973125905244,0.011493964,5.540409586209539,0.019742236,-10.970594841534,0.023726258,-21.15244804289933,0.020308644,0.9688199,14.983203,12.915169,343.869710336581,3.1794974059213867,13.935637,0.6227775,2.2042181,0.7551020408163265,147,1
51,5969900813719353728,252.0547049483025,0.27668795,-40.12747655551349,0.30885643,5.6604601919331925,0.38154343,-12.726543484293199,0.40023535,-22.524923861330976,0.41024485,0.9069822,,,344.0581697161453,3.1307466030062927,19.089386,,,0.2653061224489796,147,1
52,5969900813760479872,252.05441679614506,0.3510245,-40.127471146915255,0.23797655,6.122553605077698,0.37989974,-13.6209280628325,0.4717985,-22.05452210922393,0.37101424,3.885374,19.669998,16.55096,344.0580319039855,3.1309187561333385,18.224682,,,0.20408163265306123,147,1
53,5969901054278676864,252.02021243490523,0.07017219,-40.118700577816675,0.042834356,5.817537049830395,0.07381247,-12.149379187415882,0.1005899,-21.69947753095466,0.07358939,0.9737172,19.200676,15.786793,344.0478992014552,3.156582581348881,17.123936,,,0.9523809523809523,147,1
54,5969902527379598208,252.2268693670466,0.23816068,-40.02564604181934,0.13603134,5.671374144637626,0.25832903,-11.04447705901498,0.34835318,-22.389899551162653,0.2636956,1.2249761,20.342247,16.601664,344.22108522751194,3.0952354903326573,18.270947,,,0.38095238095238093,147,1
55,5967576922852834816,250.3460294193152,0.29123047,-43.66508825513968,0.18543164,4.880067488126624,0.33539107,-12.293655334933941,0.37112466,-21.087956190938037,0.3122384,0.99576634,21.518423,17.866959,340.54350638764976,1.788738140127054,19.35653,,,0.19727891156462585,147,1
56,5969907857507222656,252.06119701881445,0.023302523,-39.91123551702764,0.015687743,5.641064173771691,0.027960781,-11.021691297254339,0.03722459,-21.584099280259018,0.029475078,1.0298493,16.257298,13.67753,344.2271950308172,3.26603997501053,14.84226,-18.8381,7.0684724,0.8095238095238095,147,1
